BICR31_UPPER_AERODIGESTIVE_TRACT,CAOV3_OVARY,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,SKMEL2_SKIN,SKMEL3_SKIN
4,0,1,7,0
3,3,6,32,0
4,3,11,30,0
0,0,0,0,0
0,0,0,1,0
0,6,0,66,0
0,1,0,0,0
4,0,6,4,5
7,8,9,56,1
0,0,0,0,0
0,3,0,0,4
0,2,1,0,6
1,592,3,2942,0
2,5,17,38,11
3,2,5,37,13
46,47,37,86,65
0,0,0,0,0
5,1,4,12,10
6,1,4,17,8
0,0,0,5,9
0,3,0,10,0
7,2,4,40,9
68,119,68,255,107
53,1,52,0,64
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,3,0,5,0
37,78,17,79,0
0,333,0,481,0
1,11,2,18,0
0,29,0,50,0
9,20,9,64,0
1,6,2,22,0
3,11,13,0,0
6,2,14,0,0
9,16,7,24,0
0,0,0,0,0
119,306,275,0,0
139,334,307,415,937
0,1,362,3,0
0,0,1,0,0
0,0,0,0,0
2,1,5,0,0
2,4,21,0,1
0,0,5,0,0
56,164,286,0,1
43,111,192,0,0
63,56,95,0,0
57,42,54,0,1
61,18,33,9,0
12,4,9,3,0
39,0,8,15,0
47,1,7,19,0
54,1,24,65,2
527,1,81,161,1
2,0,1,3,0
0,0,1,0,0
0,0,2,3,0
0,0,2,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,3,0,3,0
31,3,10,11,0
0,0,0,0,0
1,0,1,0,0
1,0,0,0,0
56,63,1,0,0
19,35,0,0,0
10,41,17,42,22
60,67,0,1,0
52,89,88,121,158
4,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5,73,0,36,8
16,0,42,0,129
0,0,18,0,0
0,0,32,17,0
44,74,47,81,148
0,4,5,4,14
0,0,2,7,4
2,0,0,3,10
0,0,4,8,8
0,0,2,8,25
0,0,4,6,6
0,0,5,4,10
0,0,6,2,1
57,48,23,0,80
0,2,1,27,12
0,0,3,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,3,1
0,0,0,0,0
0,0,0,0,0
0,11,2,24,17
7,7,19,32,7
4,4,6,28,6
2,3,1,25,3
1,0,0,9,0
0,1,1,5,0
0,0,0,36,0
0,0,0,24,2
2,2,7,35,4
2,3,5,42,11
1,2,0,15,4
2,1,2,6,1
0,0,1,3,1
0,0,0,4,1
0,1,0,9,2
1,2,2,15,6
15,13,10,61,18
12,12,11,46,17
13,2,7,19,14
13,15,15,126,13
7,7,4,38,16
0,0,0,4,0
27,60,76,96,58
31,71,77,65,49
63,82,123,89,67
0,0,0,0,9
196,162,108,108,421
186,198,0,2,486
115,168,34,196,291
33,36,11,80,75
24,19,14,31,38
0,1,40,88,0
1,0,41,76,0
0,0,2,13,0
0,0,0,8,7
0,0,0,7,7
15,13,26,22,39
15,17,22,29,46
9,12,16,19,35
13,10,17,25,35
14,10,21,13,45
15,11,14,33,52
14,11,7,14,39
15,19,10,27,42
25,52,26,33,66
35,72,38,50,91
26,54,20,16,76
42,50,13,21,72
53,375,27,55,64
59,196,14,117,24
124,657,31,44,111
56,373,4,77,80
60,408,4,81,85
7,22,5,15,26
10,0,0,25,0
0,0,0,0,0
1,21,0,7,0
0,16,11,9,0
0,0,13,22,0
0,12,9,18,1
0,16,3,9,0
0,12,12,0,1
0,10,6,0,0
0,0,0,0,0
0,0,1,0,0
0,0,1,0,0
0,2,2,11,0
0,1,0,0,0
0,24,29,13,0
0,12,16,0,0
0,1,0,0,0
0,1,0,3,0
14,20,10,14,0
0,0,0,0,0
3,0,0,0,0
0,0,1,0,0
16,17,23,12,0
1,1,1,0,0
4,3,10,7,13
0,2,2,0,6
0,0,6,6,3
2,4,9,4,9
202,422,506,311,213
0,0,0,0,0
0,0,0,1,0
23,4,2,5,8
0,0,0,7,0
0,0,0,0,0
6,0,0,7,1
0,0,0,0,0
0,0,0,0,1
1,0,0,2,2
51,49,0,29,44
48,34,5,9,106
40,35,4,30,101
0,0,0,17,0
0,0,0,0,0
1,0,0,20,1
0,0,0,23,0
0,7,0,43,4
0,0,1,11,0
4,4,0,9,7
1,3,0,14,4
2,2,0,9,13
2,3,0,2,7
2,3,0,2,7
64,58,0,80,263
50,36,14,62,219
2,2,0,12,7
2,3,0,21,3
73,58,0,160,135
103,77,16,162,333
61,77,0,168,130
78,73,15,148,297
87,74,1,157,136
98,91,0,136,159
180,94,7,145,157
101,2,27,270,5
94,1,26,268,4
65,0,24,156,2
39,0,20,107,0
6,0,0,1,0
0,0,0,1,0
109,0,131,281,0
3,0,1,3,0
0,0,0,6,0
69,51,57,130,75
2,0,1,6,0
174,81,132,113,72
199,0,187,173,0
7,4,18,23,6
7,7,20,24,11
2,0,11,0,0
1,0,5,0,0
238,0,228,0,0
0,0,0,0,0
1,0,0,0,0
1,0,1,0,0
114,106,134,142,231
2,0,3,0,0
3,0,0,0,0
4,10,3,0,15
2,0,5,0,0
2,10,3,1,10
1,1,1,0,0
3,4,5,24,9
1,0,1,0,0
1,0,1,3,0
5,0,2,0,0
0,0,1,0,0
1,0,0,0,0
0,0,1,0,0
10,4,7,11,8
6,7,4,0,0
37,0,20,0,0
0,0,2,0,0
4,0,1,0,0
1,0,1,9,3
0,0,0,0,0
2,0,2,0,0
1,0,0,0,0
2,0,0,0,0
2,0,0,0,0
5,0,3,0,0
3,6,0,5,5
3,2,4,3,5
3,6,5,13,10
2,3,3,2,11
2,0,0,0,0
1,4,4,0,3
1,3,4,7,8
4,0,0,0,0
0,0,2,0,1
3,0,0,0,0
10,0,10,1,2
0,0,3,13,0
0,0,0,0,0
0,0,0,7,2
4,0,26,0,0
16,29,37,0,36
16,31,36,1,27
4,4,4,0,7
3,0,5,0,0
0,1,5,11,7
1,2,9,16,9
1,0,7,5,3
2,1,3,10,8
1,4,9,12,8
1,3,4,7,5
0,0,0,0,0
0,0,0,0,0
0,0,2,0,0
58,114,196,308,192
0,0,0,0,0
0,0,3,0,0
1,5,4,12,0
0,1,4,1,2
0,6,5,5,6
0,1,2,1,0
3,0,1,0,0
1,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,8,0,11,0
2,1,1,15,7
1,5,2,37,6
2,6,3,43,6
0,1,0,17,0
1,4,6,45,9
1,5,8,33,18
0,12,0,42,0
0,6,1,16,0
0,4,0,33,0
0,6,0,26,0
0,3,5,6,0
0,3,0,6,0
0,2,0,2,0
65,136,32,145,60
52,130,20,136,51
39,120,18,122,43
0,477,0,291,0
0,1,1,2,0
0,0,0,4,0
0,50,0,50,0
0,0,0,2,0
0,1,0,0,0
0,6,0,2,0
0,1,0,2,0
0,1,0,3,0
0,2,0,2,0
0,67,0,67,0
0,75,0,42,0
0,0,0,1,0
0,0,0,3,0
0,75,0,106,1
1,0,4,5,8
1,1,5,5,12
3,2,4,5,31
0,0,0,8,0
3,1,5,6,16
1,0,0,2,0
0,0,0,2,1
0,0,0,0,0
0,0,0,2,0
0,1,0,0,0
0,1,0,2,0
0,0,0,0,0
0,0,0,1,0
0,0,0,2,0
0,0,0,0,3
0,0,0,0,0
0,0,0,3,0
0,0,0,18,0
0,0,0,10,0
0,0,0,26,0
0,0,0,41,0
1,0,0,33,0
0,0,0,22,0
0,0,0,24,1
0,0,0,42,0
0,0,0,35,0
0,0,0,28,0
0,0,0,47,1
1,0,1,47,0
0,0,0,10,0
0,0,0,7,0
1,3,7,6,4
4,9,12,17,6
0,4,3,7,2
0,0,0,6,0
0,0,0,9,0
0,0,0,16,0
0,0,0,17,0
0,2,0,7,0
0,0,0,1,0
0,0,0,74,1
0,0,0,3,0
2,2,47,44,59
0,0,0,1,0
0,0,0,19,0
0,0,0,1,0
0,0,0,4,0
0,0,0,3,0
0,0,0,3,0
0,0,0,6,0
0,0,0,4,0
0,0,0,7,0
0,0,1,10,0
0,0,0,6,0
0,0,0,8,0
0,0,0,19,2
0,0,0,9,0
0,0,0,24,0
0,0,0,11,0
0,0,0,9,0
0,0,0,0,0
0,0,0,10,0
0,0,0,63,0
0,0,1,64,0
0,0,0,54,0
0,0,0,13,0
0,0,0,0,0
0,0,1,20,1
1,0,0,138,0
0,0,0,0,0
2,0,0,110,0
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,1
0,0,0,0,0
0,0,0,2,1
1,0,8,33,1
0,2,1,6,4
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,2,0
0,0,0,1,0
1,1,2,0,0
3,0,3,88,0
0,1,0,23,1
0,0,2,4,0
0,0,0,1,0
2,3,3,1,5
3,2,5,8,2
0,0,0,2,0
64,79,21,41,32
7,0,0,7,2
4,1,1,20,1
2,0,1,6,1
0,1,2,10,1
0,1,1,13,4
0,0,0,0,0
0,0,0,0,0
0,0,0,2,0
0,0,0,0,0
2,0,3,1,0
6,0,0,2,8
24,0,0,7,9
0,0,0,0,0
0,0,0,2,1
4,0,0,3,1
5,0,0,3,0
0,0,0,2,1
0,0,0,0,0
12,4,18,10,18
0,0,1,0,1
6,1,7,12,9
6,0,8,11,10
9,3,7,20,10
8,2,6,24,8
5,0,7,4,10
1,0,2,7,6
0,0,0,13,2
0,0,0,0,0
2,3,3,4,9
7,0,3,10,10
6,0,0,0,0
6,5,1,12,7
6,5,1,18,8
8,7,6,21,21
9,7,6,27,19
3,6,5,17,24
10,0,5,10,18
117,0,0,0,0
0,0,0,0,0
1,1,0,2,2
0,0,1,4,1
1,0,1,4,2
2,0,3,5,11
2,0,3,5,11
5,0,8,9,3
0,0,0,4,3
0,0,0,0,0
0,0,2,0,4
1,2,3,0,5
1,0,0,0,0
5,0,12,5,10
0,0,0,11,5
0,0,0,10,4
0,0,0,0,0
4,0,0,0,0
4,0,2,9,2
4,0,2,9,2
0,0,0,2,5
0,0,0,5,3
7,2,5,2,3
3,0,5,17,4
3,0,9,19,5
1,15,2,8,6
631,4,491,506,500
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,1,2,14,9
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,3,4,29,6
3,3,2,13,5
97,139,52,212,138
115,147,78,230,207
7,11,4,17,7
37,20,14,40,42
39,25,15,45,51
115,295,162,288,241
1,0,0,0,0
176,212,113,267,171
3,9,8,34,15
5,9,6,37,10
2,3,3,12,20
4,9,13,19,32
5,9,13,15,20
1,5,16,17,28
14,19,14,79,16
2,2,2,17,12
2,4,2,8,5
20,22,36,92,64
1,0,0,2,0
2,5,0,19,3
0,3,0,8,9
2,7,7,10,7
1,3,4,32,6
1,2,4,34,4
210,218,0,127,112
115,120,0,91,58
65,64,50,107,91
55,46,40,74,73
44,24,22,47,54
74,47,39,61,73
68,72,46,164,96
57,41,32,129,57
12,29,0,26,31
53,51,0,25,41
40,29,0,5,31
5,4,0,13,8
0,0,76,97,72
0,0,69,93,75
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
1,0,81,87,66
7,0,25,47,28
0,0,26,25,30
4,0,13,15,7
0,1,0,3,0
1,1,0,5,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
118,0,210,38,60
92,1,119,29,33
1,0,8,5,3
1,0,3,1,1
0,0,0,0,2
0,0,0,0,0
3,0,4,9,3
9,7,29,6,2
0,0,0,0,0
0,0,0,0,0
16,0,3,71,5
12,0,2,59,4
311,1,84,306,189
209,1,57,169,179
0,0,2,5,0
8,0,3,1,0
4,0,3,0,0
2,0,0,0,0
1,0,0,0,0
123,72,49,60,33
45,56,61,90,119
0,0,1,2,2
0,0,0,0,0
0,0,10,4,8
102,146,207,118,234
254,173,109,61,113
0,0,0,0,0
0,0,107,33,98
0,0,95,31,79
0,0,0,0,0
0,0,0,0,0
1,1,1,8,4
1,0,26,11,24
1,0,3,0,0
0,0,52,11,61
0,0,1,0,0
0,0,0,0,0
0,0,0,4,0
0,0,0,0,0
2,2,3,4,5
0,0,3,9,0
2,3,24,35,35
2,0,21,12,0
5,0,6,14,0
2,0,3,5,0
11,4,17,29,35
147,191,100,50,258
93,0,119,29,0
0,0,0,0,0
66,20,31,208,67
71,23,45,216,75
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
220,124,184,117,107
208,0,65,196,56
2,50,62,134,66
0,0,0,0,3
0,0,0,0,3
0,0,0,0,6
3,0,0,0,9
0,0,3,0,0
0,3,0,81,0
3,0,3,29,92
0,0,0,10,0
0,2,3,53,59
0,4,1,61,48
0,0,1,45,21
0,0,0,52,0
0,0,0,28,0
0,6,0,118,0
1,279,187,1283,2115
261,206,151,1279,1835
4201,4499,104,71,65
8722,5124,6788,817,4262
7581,4814,5634,1531,3739
7768,3901,6668,1064,3624
7365,4240,5942,3677,4147
10274,5157,9000,1062,4700
19,0,10,7,7
10484,2123,8850,3307,7399
0,0,0,0,0
0,0,0,2,0
2131,2873,3343,6364,3333
1535,2197,3,0,9
0,0,0,0,0
47,0,107,188,0
81,62,82,174,54
33,0,94,182,0
50,0,159,183,1
53,0,155,191,2
124,0,66,199,153
159,100,91,180,221
37,118,75,188,68
45,50,27,113,63
33,50,22,104,56
33,45,20,71,49
11,5,9,30,11
12,6,11,62,13
9,2,7,24,7
11,4,3,20,13
8,2,2,17,14
6,4,4,59,18
6,13,7,113,37
17,40,18,84,18
36,101,37,163,37
340,351,141,166,318
2,0,1,13,1
1,0,2,7,10
1,3,1,19,7
2,0,4,18,7
2,0,2,11,14
1,6,2,6,0
306,304,70,115,144
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,0,1,4
3,2,1,5,2
49,80,67,281,151
90,148,88,0,7
0,0,1,5,8
0,0,0,10,10
0,0,3,10,3
0,0,0,3,5
0,0,2,12,5
1,0,2,1,2
1,0,1,6,0
0,0,0,6,1
0,0,1,8,1
0,0,0,4,7
46,91,49,260,146
0,0,0,0,0
0,0,7,11,13
2,0,0,8,5
0,0,1,18,7
0,0,0,0,0
3,4,8,8,16
1,1,6,11,13
144,121,63,121,190
1,0,0,3,3
0,0,0,0,0
0,0,0,3,6
0,0,0,4,2
0,1,0,65,0
0,1,65,44,50
0,0,104,67,86
0,0,0,0,0
0,0,63,85,0
0,0,0,0,0
0,0,0,0,0
0,0,2,9,0
0,0,5,13,0
0,0,3,4,0
0,0,2,4,4
0,0,0,0,0
0,0,3,1,0
2,0,4,8,1
26,9,15,15,8
4,2,3,15,5
7,2,6,15,5
0,0,0,0,0
0,1,0,0,0
1,0,0,5,1
7,1,2,11,6
3,1,4,5,2
0,0,2,4,0
0,0,2,2,1
0,0,0,0,0
2,0,89,60,0
0,0,0,0,1
4,15,9,33,13
68,138,124,515,87
0,0,0,1,0
64,0,107,79,56
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
4,0,0,7,0
0,0,3,2,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
90,2,120,136,86
0,0,0,0,0
0,1,0,5,11
0,2,0,6,8
0,0,0,0,0
2,0,4,8,6
0,0,0,0,0
2,10,16,6,15
0,4,7,12,8
0,0,92,0,0
0,0,1,0,0
0,1,0,6,7
0,1,2,2,7
0,1,2,0,22
6,6,1,173,532
0,0,6,14,61
0,0,0,1,0
0,0,0,0,0
0,1,11,28,33
0,0,3,0,0
0,0,0,12,5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8,2,16,65,160
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,1,27,0,0
0,0,0,0,0
55,31,0,0,29
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
151,80,54,75,90
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,26,0
0,0,0,0,0
4,8,8,43,17
3,0,4,32,9
5,4,8,62,17
5,4,7,56,21
0,0,0,1,0
2,1,0,12,4
0,0,1,16,0
1,0,0,40,1
6,7,4,65,20
4,9,3,30,8
3,7,3,34,12
6,3,4,21,8
6,3,6,34,19
0,2,1,22,10
0,0,0,32,1
1,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
80,43,56,0,82
77,50,35,27,69
70,50,47,35,62
19,6,1,0,12
1,6,2,2,10
3,11,8,0,19
11,32,17,0,38
8,22,22,20,33
5,18,6,0,36
5,3,3,0,38
18,17,12,0,68
18,12,9,1,53
37,39,15,0,108
52,34,25,0,139
83,32,30,0,137
33,35,28,122,0
1,4,1,1,2
3,5,2,0,5
18,30,33,77,21
0,0,0,1,0
0,44,54,57,41
0,0,13,29,0
1,6,16,0,13
1,0,0,1,4
1,0,0,2,2
1,0,0,0,1
0,0,0,0,2
1,0,0,1,3
0,0,0,0,0
2,0,0,0,2
2,0,0,1,2
0,0,0,0,0
0,0,1,0,0
0,0,0,1,0
0,0,0,2,0
0,0,0,1,0
1,0,0,6,2
0,1,0,1,0
27,0,0,0,16
91,47,30,46,68
39,13,15,1,21
0,0,0,1,0
0,0,0,0,0
0,169,100,325,0
5,7,4,23,12
0,1,2,21,0
0,3,6,20,0
0,123,83,593,0
1,0,6,51,3
29,121,79,340,59
0,2,1,8,3
0,1,1,14,0
1,0,1,19,0
1,0,2,11,0
2,0,1,10,0
1,0,1,5,0
0,0,0,0,0
0,0,0,0,0
0,1,5,10,0
2,9,7,94,6
2,19,18,56,14
0,0,1,5,0
0,0,0,0,5
11,0,31,0,7
1,0,1,0,2
0,0,0,3,0
0,0,0,0,0
0,0,2,0,0
0,0,1,0,3
0,0,0,0,0
2,0,6,0,1
0,0,2,0,0
32,0,50,0,18
3,0,0,0,0
4,0,5,0,6
2,0,1,0,4
1,0,0,0,2
10,8,5,55,19
5,6,12,28,16
1,0,5,0,4
6,0,8,0,9
90,66,79,257,101
149,147,114,298,174
135,140,109,265,158
101,106,79,231,127
136,159,119,76,204
74,2,34,26,41
73,2,30,28,43
57,109,64,99,88
51,94,54,94,76
68,121,66,103,98
33,49,43,90,55
63,113,65,123,84
55,84,66,143,85
91,100,71,200,101
59,48,50,144,65
71,0,70,1,65
172,126,111,303,132
141,112,106,235,121
133,106,81,241,97
146,2,118,0,267
4,0,13,0,33
4,0,14,0,34
9,0,9,0,46
4,0,7,3,19
0,0,0,0,0
13,9,25,150,58
0,0,6,0,0
16,0,31,0,40
7,0,5,0,7
14,0,12,0,14
11,21,29,33,26
9,8,13,17,12
8,7,12,7,4
9,24,14,20,7
15,0,12,0,20
4,9,6,17,6
7,0,13,0,19
7,0,10,0,17
0,0,10,0,0
12,0,6,0,6
43,0,17,0,37
225,0,141,0,375
0,3,1,10,1
2,0,0,19,4
0,0,0,0,0
2,0,5,0,8
0,0,0,0,0
0,2,0,7,2
2,3,0,13,3
10,4,5,21,14
0,4,0,9,9
0,0,0,1,0
182,117,78,342,233
0,110,0,153,125
91,57,88,143,119
88,46,73,131,107
85,49,77,95,94
83,52,72,95,99
83,62,38,97,99
48,26,51,81,61
7,4,4,5,14
23,21,19,16,43
19,31,19,131,54
92,0,106,0,1
74,115,190,213,113
1,7,9,10,14
0,0,0,0,0
0,2,1,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,3,1
0,0,0,0,0
69,68,60,185,203
0,0,0,0,0
1,2,1,14,11
0,0,0,0,0
12,4,1,27,33
5,0,2,24,6
34,15,22,22,17
5,0,2,21,5
25,29,71,23,66
1,1,38,1,0
0,0,0,0,0
154,80,51,194,200
42,44,84,71,93
137,53,106,69,105
0,2,0,0,0
0,0,0,0,0
145,58,113,162,199
136,54,96,79,83
42,39,106,65,110
12,6,9,20,11
0,0,1,0,0
161,50,142,92,131
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
0,0,0,0,2
0,0,0,0,0
1,2,11,6,14
1,1,2,0,0
0,0,1,0,0
0,0,3,0,0
1,15,24,28,11
1,15,18,0,0
1,31,34,37,18
4,23,29,31,23
0,19,23,62,6
1,32,29,40,9
0,19,17,35,5
0,5,5,0,33
1,0,1,5,9
0,0,1,3,3
0,0,0,3,2
2,0,3,31,8
0,1,6,11,14
2,4,8,5,15
3,15,11,0,14
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
22,1,22,132,0
20,0,26,131,0
19,0,27,132,0
23,2,17,116,0
11,0,20,87,0
0,0,5,24,0
0,0,2,14,0
0,0,8,26,0
4,0,4,40,9
3,19,18,64,22
0,0,1,2,0
1,0,4,6,0
0,0,3,10,0
0,0,2,11,0
0,0,2,27,0
0,0,1,18,0
0,0,1,18,8
2,0,4,24,0
0,0,5,21,14
1,0,8,19,1
0,0,0,0,0
8,44,44,58,63
20,1,42,46,56
9,33,0,53,45
0,37,0,0,27
0,31,1,0,24
0,24,0,0,22
0,37,0,0,26
0,23,0,0,19
0,17,1,0,12
0,17,0,0,13
3,3,0,0,17
1,1,0,0,4
0,0,0,0,0
0,6,0,0,7
0,7,0,0,13
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,4
0,0,0,0,0
0,0,0,0,2
0,1,0,2,0
1,2,0,0,0
7,0,0,0,0
4,0,4,0,0
1,1,1,1,0
2,0,0,0,0
3,0,0,0,0
7,0,2,0,0
32,18,47,24,54
34,19,40,25,70
31,23,38,26,62
38,34,40,55,61
56,46,45,62,78
54,37,35,34,74
0,0,0,0,1
2,0,1,0,0
7,0,5,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,2,0,0,0
0,0,0,0,0
0,0,1,0,0
1,0,2,0,0
0,1,0,0,3
4,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
279,1,168,0,0
19,0,0,0,0
22,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
46,0,2,0,0
13,1,0,12,0
8,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,2,0,8,0
0,0,0,0,0
0,3,0,1,0
0,0,0,0,0
0,2,0,5,0
0,0,0,0,0
0,0,0,0,0
0,0,0,8,1
0,0,0,5,1
0,0,0,8,1
0,0,0,0,0
0,0,17,0,112
0,0,3,0,6
105,1,82,81,55
0,0,0,0,0
0,0,0,0,7
0,0,0,24,4
0,0,0,26,2
0,1,0,46,21
0,0,0,2,1
0,0,0,0,0
7,3,2,4,14
0,0,0,2,4
0,0,0,6,0
0,0,0,9,65
0,0,2,1,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,50,111,45
0,0,0,0,0
30,20,22,0,69
0,0,20,64,23
0,0,0,7,1
1,1,0,8,24
0,0,0,9,2
0,0,0,0,0
5,2,1,4,4
0,0,0,3,0
2,0,2,5,7
0,0,0,0,0
58,12,72,23,12
111,46,51,146,140
0,0,0,0,0
0,0,3,0,0
0,0,0,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,29,0,1
0,0,0,0,0
0,0,0,0,56
0,6,19,0,28
0,498,983,1033,806
1,47,144,163,138
1,8,17,22,18
0,13,13,0,12
0,0,3,0,0
0,0,10,0,0
0,0,38,1,0
0,0,30,0,0
0,0,77,1,0
0,0,108,0,0
1,46,139,93,61
0,1,160,0,0
0,1,97,132,1
0,0,1,0,0
0,1,9,4,3
0,0,133,0,0
0,1,1,1,3
0,0,3,0,0
0,0,3,0,0
0,0,5,0,0
0,0,4,0,0
0,0,1,0,0
0,0,0,0,0
0,0,2,0,0
0,0,4,0,0
0,0,2,0,0
0,0,7,0,0
0,1,9,4,4
0,0,0,0,0
0,0,2,0,0
0,0,10,0,0
0,0,7,0,0
0,0,2,0,0
0,2,5,12,3
0,0,4,0,0
8,0,8,10,6
0,0,3,0,0
0,0,0,0,1
12,0,0,25,0
0,2,0,0,16
0,1,71,104,0
84,32,73,213,86
22,5,27,92,20
80,19,66,292,82
35,24,26,25,27
33,29,31,21,25
69,32,54,198,98
97,37,63,208,152
66,22,40,127,96
0,0,157,124,0
0,0,0,0,0
0,0,0,0,0
1,4,0,0,3
63,1,54,60,95
166,1,107,210,205
0,84,56,135,0
3,0,1,1,6
0,0,0,2,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,3,0,4,0
0,0,0,0,0
0,0,0,0,0
0,0,2,2,4
0,1,3,4,7
2,0,1,8,11
2,0,3,1,9
0,0,0,0,0
0,0,1,6,0
0,0,0,0,0
0,0,0,0,0
2,2,5,3,2
2,0,0,1,0
0,0,0,0,0
0,0,0,0,0
3,3,1,0,2
3,6,5,1,5
0,8,1,0,0
0,8,0,0,0
0,0,0,0,0
0,0,0,0,0
25,0,106,113,78
0,0,0,0,0
0,7,80,1,32
30,1,91,49,57
0,10,90,0,46
0,0,0,0,2
3,2,13,101,107
0,0,0,0,91
0,0,0,0,137
1,0,30,110,174
0,0,0,0,113
0,0,0,0,0
0,0,0,0,0
0,1,1,9,7
6,0,7,0,14
13,0,22,0,0
0,0,0,0,0
0,3,6,15,18
0,1,5,5,9
0,2,0,10,9
0,0,1,6,18
4,1,4,6,15
0,7,19,39,75
0,0,0,0,0
24,6,42,92,23
0,0,2,0,6
0,4,0,0,5
0,4,0,0,5
1,3,0,8,0
3,1,0,9,3
0,1,1,0,5
0,3,8,0,4
0,0,1,0,0
0,0,0,0,0
0,97,206,0,161
0,0,2,0,0
0,0,0,0,0
0,0,1,0,0
0,0,2,0,0
0,0,2,0,0
0,0,2,0,0
0,0,5,0,0
0,0,5,0,0
0,0,6,0,0
0,3,7,0,9
0,0,2,1,0
0,0,2,0,0
0,0,68,0,0
1,0,81,0,0
4,3,68,1,1
0,0,102,1,0
1,62,131,0,137
1,1,5,1,5
0,0,0,0,0
2,1,5,0,4
0,1,4,0,13
1,0,3,3,5
2,78,169,0,157
0,98,90,1,0
0,0,79,0,0
1,105,113,0,1
0,0,0,0,0
1,0,0,0,220
0,0,0,0,0
0,0,0,0,4
0,0,0,0,0
259,105,111,203,1
0,0,0,0,0
193,0,76,239,2
0,0,0,0,0
0,4,0,47,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,7,0,11
0,0,0,15,1
68,35,104,151,0
4,0,0,0,0
1,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,39,0,0,0
0,70,0,0,0
0,0,0,0,0
0,1,0,0,0
0,49,0,0,0
0,59,0,0,1
103,70,150,5,171
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
6,7,15,0,16
0,0,7,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,0,2,2,4
8,7,3,9,7
0,3,0,6,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,201,44
0,0,0,0,7
0,0,0,0,7
69,53,23,63,1
236,85,92,323,2
0,0,0,0,0
0,0,0,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,3
19,19,1,0,225
0,0,0,0,0
22,26,1,0,204
0,0,0,0,0
2,38,0,156,119
0,0,0,0,0
0,1,1,5,3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
